name;hash;path;type;size
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T150_SE_REP1_T1);d5638d8e7589bb1360e4d44f93e0dc76;/storage/nf-core/exec/nextflow_workflow_tracer/work/d5/638d8e7589bb1360e4d44f93e0dc76/OSMOTIC_STRESS_T150_SE_REP1_T1_fastqc.zip;f;478374
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T150_SE_REP1_T1);d5638d8e7589bb1360e4d44f93e0dc76;/storage/nf-core/exec/nextflow_workflow_tracer/work/d5/638d8e7589bb1360e4d44f93e0dc76/versions.yml;f;85
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T15_PE_REP1_T1);3967de41cde4ac2dba69e59001d20181;/storage/nf-core/exec/nextflow_workflow_tracer/work/39/67de41cde4ac2dba69e59001d20181/OSMOTIC_STRESS_T15_PE_REP1_T1_1_fastqc.html;f;636596
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T15_PE_REP1_T1);3967de41cde4ac2dba69e59001d20181;/storage/nf-core/exec/nextflow_workflow_tracer/work/39/67de41cde4ac2dba69e59001d20181/OSMOTIC_STRESS_T15_PE_REP1_T1_2_fastqc.html;f;651575
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T15_PE_REP1_T1);3967de41cde4ac2dba69e59001d20181;/storage/nf-core/exec/nextflow_workflow_tracer/work/39/67de41cde4ac2dba69e59001d20181/OSMOTIC_STRESS_T15_PE_REP1_T1_1_fastqc.zip;f;478424
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T15_PE_REP1_T1);3967de41cde4ac2dba69e59001d20181;/storage/nf-core/exec/nextflow_workflow_tracer/work/39/67de41cde4ac2dba69e59001d20181/OSMOTIC_STRESS_T15_PE_REP1_T1_2_fastqc.zip;f;483157
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T15_PE_REP1_T1);3967de41cde4ac2dba69e59001d20181;/storage/nf-core/exec/nextflow_workflow_tracer/work/39/67de41cde4ac2dba69e59001d20181/versions.yml;f;85
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T15_PE_REP1_T2);cfc794de5991db7f4f44d57e40f9de3e;/storage/nf-core/exec/nextflow_workflow_tracer/work/cf/c794de5991db7f4f44d57e40f9de3e/OSMOTIC_STRESS_T15_PE_REP1_T2_1_fastqc.html;f;642839
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T15_PE_REP1_T2);cfc794de5991db7f4f44d57e40f9de3e;/storage/nf-core/exec/nextflow_workflow_tracer/work/cf/c794de5991db7f4f44d57e40f9de3e/OSMOTIC_STRESS_T15_PE_REP1_T2_2_fastqc.html;f;651247
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T15_PE_REP1_T2);cfc794de5991db7f4f44d57e40f9de3e;/storage/nf-core/exec/nextflow_workflow_tracer/work/cf/c794de5991db7f4f44d57e40f9de3e/OSMOTIC_STRESS_T15_PE_REP1_T2_1_fastqc.zip;f;485943
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T15_PE_REP1_T2);cfc794de5991db7f4f44d57e40f9de3e;/storage/nf-core/exec/nextflow_workflow_tracer/work/cf/c794de5991db7f4f44d57e40f9de3e/OSMOTIC_STRESS_T15_PE_REP1_T2_2_fastqc.zip;f;490173
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T15_PE_REP1_T2);cfc794de5991db7f4f44d57e40f9de3e;/storage/nf-core/exec/nextflow_workflow_tracer/work/cf/c794de5991db7f4f44d57e40f9de3e/versions.yml;f;85
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T150_SE_REP1_T2);29f47ea311ef2b937ad50b74b6601b0c;/storage/nf-core/exec/nextflow_workflow_tracer/work/29/f47ea311ef2b937ad50b74b6601b0c/OSMOTIC_STRESS_T150_SE_REP1_T2_fastqc.html;f;642836
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T150_SE_REP1_T2);29f47ea311ef2b937ad50b74b6601b0c;/storage/nf-core/exec/nextflow_workflow_tracer/work/29/f47ea311ef2b937ad50b74b6601b0c/OSMOTIC_STRESS_T150_SE_REP1_T2_fastqc.zip;f;485897
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T150_SE_REP1_T2);29f47ea311ef2b937ad50b74b6601b0c;/storage/nf-core/exec/nextflow_workflow_tracer/work/29/f47ea311ef2b937ad50b74b6601b0c/versions.yml;f;85
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T150_SE_REP1_T2);f3ecd63ebe3207426aa40ce81fcb2f6d;/storage/nf-core/exec/nextflow_workflow_tracer/work/f3/ecd63ebe3207426aa40ce81fcb2f6d/OSMOTIC_STRESS_T150_SE_REP1_T2_trimmed.fq.gz;f;5159260
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T150_SE_REP1_T2);f3ecd63ebe3207426aa40ce81fcb2f6d;/storage/nf-core/exec/nextflow_workflow_tracer/work/f3/ecd63ebe3207426aa40ce81fcb2f6d/OSMOTIC_STRESS_T150_SE_REP1_T2.fastq.gz_trimming_report.txt;f;2886
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T150_SE_REP1_T2);f3ecd63ebe3207426aa40ce81fcb2f6d;/storage/nf-core/exec/nextflow_workflow_tracer/work/f3/ecd63ebe3207426aa40ce81fcb2f6d/OSMOTIC_STRESS_T150_SE_REP1_T2_trimmed_fastqc.html;f;659662
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T150_SE_REP1_T2);f3ecd63ebe3207426aa40ce81fcb2f6d;/storage/nf-core/exec/nextflow_workflow_tracer/work/f3/ecd63ebe3207426aa40ce81fcb2f6d/OSMOTIC_STRESS_T150_SE_REP1_T2_trimmed_fastqc.zip;f;473427
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T150_SE_REP1_T2);f3ecd63ebe3207426aa40ce81fcb2f6d;/storage/nf-core/exec/nextflow_workflow_tracer/work/f3/ecd63ebe3207426aa40ce81fcb2f6d/versions.yml;f;111
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T150_SE_REP1_T1);8bdef957476a0710ba6398ec189ba89e;/storage/nf-core/exec/nextflow_workflow_tracer/work/8b/def957476a0710ba6398ec189ba89e/OSMOTIC_STRESS_T150_SE_REP1_T1_trimmed.fq.gz;f;5258246
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T150_SE_REP1_T1);8bdef957476a0710ba6398ec189ba89e;/storage/nf-core/exec/nextflow_workflow_tracer/work/8b/def957476a0710ba6398ec189ba89e/OSMOTIC_STRESS_T150_SE_REP1_T1.fastq.gz_trimming_report.txt;f;2891
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T150_SE_REP1_T1);8bdef957476a0710ba6398ec189ba89e;/storage/nf-core/exec/nextflow_workflow_tracer/work/8b/def957476a0710ba6398ec189ba89e/OSMOTIC_STRESS_T150_SE_REP1_T1_trimmed_fastqc.html;f;663250
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T150_SE_REP1_T1);8bdef957476a0710ba6398ec189ba89e;/storage/nf-core/exec/nextflow_workflow_tracer/work/8b/def957476a0710ba6398ec189ba89e/OSMOTIC_STRESS_T150_SE_REP1_T1_trimmed_fastqc.zip;f;475706
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T150_SE_REP1_T1);8bdef957476a0710ba6398ec189ba89e;/storage/nf-core/exec/nextflow_workflow_tracer/work/8b/def957476a0710ba6398ec189ba89e/versions.yml;f;111
NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BWA_MEM (OSMOTIC_STRESS_T100_SE_REP1_T1);7086961fc0e5e8ae430c2d74b87f006e;/storage/nf-core/exec/nextflow_workflow_tracer/work/70/86961fc0e5e8ae430c2d74b87f006e/OSMOTIC_STRESS_T100_SE_REP1_T1.Lb.bam;f;6067724
NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BWA_MEM (OSMOTIC_STRESS_T100_SE_REP1_T1);7086961fc0e5e8ae430c2d74b87f006e;/storage/nf-core/exec/nextflow_workflow_tracer/work/70/86961fc0e5e8ae430c2d74b87f006e/versions.yml;f;95
